User ID,Business ID,Rating,Date
1,1,3,1/3/2007
2,2,5,1/4/2007
2,3,4,1/4/2007
2,4,4,1/4/2007
2,5,5,1/5/2007
2,6,4,1/6/2007
2,7,5,1/6/2007
2,8,5,1/6/2007
2,9,3,1/6/2007
1,10,3,1/6/2007
2,11,4,1/6/2007
3,12,4,1/7/2007
3,13,4,1/7/2007
3,14,4,1/7/2007
3,15,5,1/7/2007
2,16,5,1/8/2007
2,17,5,1/8/2007
3,18,5,1/8/2007
1,19,4,1/8/2007
2,20,5,1/8/2007
2,21,3,1/8/2007
3,22,5,1/8/2007
3,23,3,1/8/2007
4,12,4,1/9/2007
2,24,5,1/9/2007
2,25,5,1/9/2007
2,26,5,1/9/2007
4,27,4,1/9/2007
1,28,1,1/11/2007
5,5,5,1/12/2007
2,29,5,1/12/2007
1,30,3,1/12/2007
2,31,3,1/12/2007
2,32,4,1/12/2007
2,33,5,1/13/2007
2,34,5,1/13/2007
2,35,4,1/13/2007
6,36,4,1/13/2007
2,37,1,1/13/2007
1,38,5,1/13/2007
6,4,4,1/13/2007
7,13,5,1/15/2007
1,39,4,1/15/2007
2,40,4,1/16/2007
2,41,5,1/17/2007
8,36,5,1/18/2007
9,42,3,1/18/2007
10,43,4,1/19/2007
11,44,5,1/20/2007
11,22,5,1/20/2007
9,6,5,1/21/2007
2,45,5,1/21/2007
12,46,4,1/23/2007
2,47,5,1/23/2007
2,48,5,1/24/2007
13,49,4,1/24/2007
1,50,3,1/25/2007
2,51,5,1/25/2007
4,52,4,1/26/2007
9,53,4,1/27/2007
14,38,5,1/27/2007
15,54,5,1/29/2007
1,55,3,2/3/2007
9,46,3,2/3/2007
16,56,3,2/5/2007
2,57,3,2/5/2007
2,58,4,2/7/2007
10,59,5,2/7/2007
10,60,4,2/7/2007
2,61,3,2/7/2007
1,62,4,2/7/2007
2,63,1,2/8/2007
2,64,4,2/8/2007
2,65,4,2/8/2007
9,66,5,2/8/2007
9,15,5,2/8/2007
17,33,3,2/13/2007
17,30,1,2/13/2007
17,31,5,2/13/2007
18,40,5,2/14/2007
18,67,5,2/14/2007
19,68,4,2/14/2007
19,69,5,2/14/2007
20,13,5,2/15/2007
9,31,3,2/15/2007
21,15,5,2/16/2007
21,70,4,2/16/2007
1,71,3,2/17/2007
4,9,4,2/17/2007
2,72,4,2/17/2007
4,73,5,2/18/2007
4,74,5,2/18/2007
2,75,3,2/19/2007
9,76,1,2/21/2007
22,51,5,2/22/2007
18,51,3,2/23/2007
1,77,3,2/24/2007
1,54,2,2/24/2007
23,78,5,2/25/2007
9,47,4,2/25/2007
24,79,5,2/28/2007
1,80,3,3/3/2007
9,81,5,3/6/2007
9,82,2,3/6/2007
25,31,4,3/12/2007
26,15,3,3/13/2007
27,40,5,3/16/2007
28,83,4,3/20/2007
4,84,4,3/23/2007
1,43,3,3/25/2007
1,85,5,3/25/2007
1,86,2,3/25/2007
29,87,4,3/27/2007
30,88,4,3/27/2007
29,89,5,3/28/2007
29,90,5,3/28/2007
29,91,4,3/31/2007
14,92,4,4/2/2007
14,33,5,4/2/2007
14,93,5,4/2/2007
14,18,4,4/2/2007
2,94,3,4/2/2007
14,95,4,4/2/2007
14,88,3,4/2/2007
14,96,4,4/2/2007
14,49,4,4/2/2007
14,97,1,4/2/2007
14,31,5,4/2/2007
14,98,3,4/2/2007
14,99,5,4/2/2007
1,3,4,4/2/2007
14,4,4,4/2/2007
14,100,5,4/2/2007
2,101,4,4/2/2007
15,102,5,4/4/2007
31,97,1,4/5/2007
18,95,4,4/6/2007
2,103,4,4/7/2007
